"","j1","j2","j3","j4","j5","j6","j7","j8","j9","j10","j11","j12","j13","j14","j15","j16","j17","j18","j19","j20","j21","j22","j23","j24","j25","j26","j27","j28","j29","j30","j31","j32","j33","j34","j35","j36","j37","j38","j39","j40","j41","j42","j43","j44","j45","j46","j47","j48","j49","j50","j51","j52","j53","j54","j55","j56","j57","j58","j59","j60","j61","j62","j63","j64","j65","j66","j67","j68","j69","j70","j71","j72","j73","j74","j75","j76","j77","j78","j79","j80","j81","j82","j83","j84","j85","j86","j87","j88","j89","j90","j91","j92","j93","j94","j95","j96","j97","j98","j99","j100"
"u17322",-0.68,1.75,-3.16,2.77,5.49,-0.49,-4.42,-5.73,-8.25,-6.07,-3.35,6.94,0.92,-4.27,-5.05,-6.12,0.44,-2.23,-2.38,-2.57,9.32,-8.01,-2.33,-5.39,-5.87,3.06,1.31,-2.67,5.83,-1.36,-6.21,0.87,-0.87,8.88,0.15,4.76,-1.17,8.83,-4.47,3.06,-1.99,5.87,-9.9,-6.94,-6.21,-5.05,-3.35,8.3,1.31,1.84,-2.67,-3.2,-0.44,6.36,-2.57,-7.28,-9.9,-9.56,-2.86,-3.06,2.67,-6.31,-1.99,1.7,-3.45,-0.44,-9.81,6.7,4.22,-6.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.54,NA,NA,-4.27,NA,NA,3.54,NA,0.34,NA,NA
"u13610",9.17,7.33,8.98,-0.34,7.38,0.87,-0.39,-0.63,7.38,8.93,8.83,-0.53,7.86,7.33,7.62,6.99,-8.3,7.09,-6.46,-6.36,5.78,9.03,8.79,0.49,6.75,5.49,8.98,-0.19,9.17,8.69,1.02,8.79,-0.34,8.69,8.69,9.13,-0.34,9.17,2.62,5.58,0.19,0.49,8.88,9.13,2.62,0.83,-6.94,5.87,8.59,8.74,6.17,-3.4,8.01,4.13,-6.89,6.7,0.29,0.49,-3.5,-0.15,7.72,4.37,0.78,5.78,8.88,8.59,9.13,0.15,0.53,-3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.64,NA,5.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u7061",-9.71,4.03,-6.8,-7.52,-9.37,3.16,-3.59,2.23,3.4,3.69,-8.35,0.53,-5,-7.82,6.65,-9.37,-0.97,6.65,-0.63,-3.59,3.11,-8.35,3.69,-7.28,4.22,5.1,5.39,3.25,6.12,4.22,-1.21,4.66,-6.84,-7.77,-8.74,7.18,8.01,7.28,-3.64,-7.82,-8.35,-7.38,5.53,6.46,7.48,-7.38,6.02,-0.53,6.21,5.1,-8.45,-8.35,-9.32,8.69,-7.33,6.36,5.73,-9.03,-8.35,6.55,6.8,5.44,-3.11,-9.47,-4.51,-8.45,3.06,-4.47,-0.83,5.19,-9.03,0.49,1.07,-7.96,1.31,-8.5,-4.56,1.99,-8.64,-7.91,-1.26,-5.83,-1.12,7.14,-0.44,-0.44,4.71,4.71,-6.99,6.8,7.09,5.73,4.85,8.4,7.67,7.67,5.53,3.93,-4.32,-4.85
"u23059",-3.16,-0.05,-0.68,-3.06,-7.48,-4.27,7.18,1.17,-6.12,0.29,-3.4,-5.34,-4.51,-4.47,4.71,-5.05,-4.03,8.06,-8.25,-7.23,-2.72,-4.85,-5.78,-7.28,-7.04,-4.81,0.87,0.44,4.08,-5.19,-2.62,6.7,-4.71,-7.43,0.78,5.1,3.06,4.22,-4.85,-6.07,-5.68,-3.06,-7.72,-4.85,-8.54,2.77,-8.93,0,2.77,7.33,-3.59,-8.11,4.95,-3.4,2.18,-3.5,-7.72,-7.72,-4.03,1.5,2.04,-0.58,-3.59,-4.03,5.24,-4.95,-3.5,-6.21,4.17,-2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.81,-4.81,-4.47,-2.33,0.24,-1.89,1.65,-4.32,-6.12,-6.8,-6.8,-6.65,-4.37,-3.98
"u7299",5.58,-0.97,4.71,5.78,1.84,-3.4,5.97,3.93,6.07,-2.23,5.19,2.62,-1.41,3.98,2.72,-4.22,0.68,5.05,0,-4.85,-7.86,-3.5,2.77,-5.15,2.52,2.23,-0.34,5.19,-5.34,3.98,-0.78,4.47,4.61,5.24,-3.06,-0.39,6.02,6.07,5.87,4.32,-4.17,5.19,1.17,5.29,5.05,-1.5,4.95,-4.56,-5.15,4.85,-8.11,-7.86,5,-4.13,-8.01,-4.71,1.7,-3.16,3.2,-4.9,-6.84,-2.62,2.96,3.5,-4.42,4.37,4.47,4.71,1.07,3.2,-0.68,4.32,-6.84,-0.39,2.62,4.85,-6.84,-1.36,-1.36,-9.47,-7.14,3.79,3.88,-0.83,-7.28,-3.25,6.02,6.02,2.04,-0.34,-3.83,-2.52,2.09,-0.34,1.12,1.12,3.5,-4.08,-3.69,-6.65
"u20906",9.08,8.93,-8.83,2.62,3.69,9.27,9.37,-4.37,-9.37,-9.61,-7.62,8.25,1.94,-9.51,-9.22,-9.32,0.97,-5.87,3.88,-9.85,9.08,7.57,-9.76,-3.35,8.88,2.33,-1.12,0.44,9.32,1.21,5,9.08,-2.14,-6.12,8.5,8.5,-8.69,-2.48,8.88,-9.56,-9.71,9.22,-9.85,-8.83,-5.63,7.77,-6.21,-9.13,5.68,-9.51,9.22,5.24,9.37,4.03,-9.27,3.35,-9.03,-9.03,0.97,-9.61,9.08,-6.84,-9.56,2.77,-4.13,-5.92,-9.42,-5.49,9.03,-5.53,NA,NA,NA,NA,8.88,NA,NA,NA,NA,NA,9.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.16,NA,NA,NA,NA
"u7147",NA,NA,NA,NA,2.57,NA,3.2,-3.98,NA,NA,NA,8.54,-3.74,NA,1.07,-0.34,-3.98,2.38,-9.03,-9.76,9.17,NA,NA,NA,NA,5.05,4.76,NA,5.29,NA,9.17,6.41,NA,6.99,6.65,2.91,NA,2.57,NA,NA,NA,7.48,NA,NA,NA,9.22,NA,-9.47,5.49,4.95,NA,NA,4.56,7.23,NA,7.72,NA,NA,NA,-1.65,5.15,7.72,NA,NA,5.29,4.61,NA,4.42,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u6662",-6.7,-6.89,-6.46,1.31,-0.58,7.86,7.04,0.44,-0.34,7.43,-8.16,-0.53,7.86,-6.26,-7.04,7.48,4.32,7.04,6.65,7.57,8.64,7.14,0.92,-7.28,6.94,0.15,6.94,6.36,-6.65,6.75,7.48,6.46,-6.94,6.41,6.84,7.04,0.15,-7.96,-0.34,-7.23,-0.97,1.36,6.21,-8.2,6.65,-1.12,-2.23,6.21,6.75,5.87,-7.62,-0.83,-6.07,-7.04,-8.16,-6.21,-0.05,-6.6,-6.84,-1.55,5.87,7.48,-1.17,3.11,-6.5,7.62,-1.07,-8.06,6.41,-0.53,-7.38,0.29,7.72,-6.07,2.14,0.87,-7.33,6.65,-7.04,0.15,8.25,0.78,-6.65,-5.78,-0.44,-7.72,7.04,8.3,7.82,-5.53,-4.85,-0.05,1.65,-0.92,1.17,-0.39,-6.94,0.78,-2.14,1.31
"u4662",NA,NA,NA,NA,4.47,NA,7.52,6.46,NA,NA,7.09,NA,-9.27,3.69,-0.87,-8.11,2.62,9.03,-8.45,8.83,5.68,NA,NA,NA,NA,-6.41,-4.42,6.36,4.03,NA,-0.15,7.72,NA,NA,-0.53,-2.72,NA,NA,-9.08,-5.29,NA,-6.5,NA,-3.3,NA,NA,NA,4.42,-9.85,0.05,NA,2.52,2.52,2.77,NA,-0.1,NA,NA,NA,NA,8.54,8.59,NA,NA,-2.82,0.53,NA,3.45,-0.92,NA,NA,-3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.35,NA,NA
"u5798",1.02,2.28,1.36,-0.44,3.74,0.63,-3.64,3.93,-2.23,-1.55,-0.92,1.21,4.76,5.1,4.13,-0.53,-0.63,-1.02,-1.89,2.91,0.87,3.5,-1.89,-1.94,0.44,1.89,1.17,0.68,2.67,-0.49,1.55,0.63,1.7,0.49,0.39,-5,-3.59,3.54,-1.5,0.15,1.12,2.18,1.21,-3.5,0.1,3.54,1.94,4.08,2.77,5.97,-0.19,1.17,7.57,3.4,1.21,1.94,-0.15,2.77,-1.07,2.48,0.19,5.05,3.93,0.15,6.6,4.71,-0.29,3.5,-0.83,-0.68,-4.9,2.96,0,1.89,3.06,1.02,-2.77,1.17,-0.73,-2.77,3.25,1.6,1.94,3.3,2.38,-0.87,1.21,4.76,2.38,2.48,-3.98,3.3,4.37,1.5,1.6,3.01,-1.89,2.52,-0.34,-1.26
"u7904",NA,NA,NA,NA,3.01,NA,1.41,0.97,NA,NA,8.35,NA,-7.09,NA,-4.13,-9.76,-6.46,3.3,4.17,9.27,8.45,NA,NA,NA,NA,NA,4.03,NA,9.22,NA,8.74,8.83,NA,NA,6.8,9.32,-5.63,NA,NA,NA,NA,8.69,NA,NA,NA,NA,7.62,9.08,9.22,8.64,NA,NA,8.45,1.84,NA,7.52,NA,NA,NA,NA,5.05,8.69,NA,NA,9.17,3.25,NA,-0.63,8.3,NA,NA,7.57,9.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u7556",-3.01,1.36,-2.67,-4.66,0.19,6.7,8.83,3.25,0.63,-1.6,-1.07,4.13,8.25,3.4,-6.36,-3.74,2.18,7.23,6.5,4.95,2.62,-2.67,-1.12,-2.96,3.01,-2.57,9.13,7.23,5.19,-0.73,8.64,7.77,-3.2,9.03,8.4,5.05,2.86,9.22,3.93,4.27,-0.53,9.17,-1.17,0.49,-7.14,4.95,8.45,4.32,6.55,9.13,-3.64,6.12,3.59,3.2,-1.55,7.52,-3.5,0.39,6.46,-2.28,2.96,3.88,3.54,-1.31,5.24,7.96,-1.02,5.87,8.16,5.29,3.98,8.5,6.5,0.1,3.3,7.18,3.54,2.48,1.75,3.16,6.02,-1.31,2.77,5.83,5.05,1.46,5.87,4.81,6.55,-1.7,7.33,0.15,8.11,1.5,6.7,3.83,3.59,1.12,8.25,7.86
"u3970",5.87,3.01,-8.98,8.5,2.52,1.41,-9.51,3.35,0.19,8.2,4.71,4.56,7.67,6.26,-2.04,-9.81,-2.14,-9.95,-8.88,6.84,7.52,3.2,-9.81,-9.61,2.67,7.91,8.64,8.4,1.94,2.28,8.16,7.77,-8.45,-5.68,-0.63,6.7,7.18,5.92,-8.59,-7.77,7.43,6.07,-1.21,-0.24,0.53,-9.47,-3.74,3.16,4.37,8.64,-4.22,1.12,9.08,5.44,-2.86,8.74,-8.3,-9.42,2.38,6.5,5.53,1.02,0.97,-3.01,5.34,8.01,2.43,-1.41,7.91,3.93,NA,8.83,NA,NA,NA,NA,NA,6.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.24,6.7,4.32,4.56,4.47,4.71,4.66,-6.8,1.84,-8.83,7.62
"u999",-7.33,-6.55,-7.33,-7.33,-1.6,-3.35,-7.14,-6.6,-7.33,-6.07,-6.55,-7.62,-6.6,-7.62,-1.07,-7.52,-6.6,-6.6,-1.02,-7.14,-1.21,-7.62,-7.62,-7.33,-7.62,-4.22,0.49,-7.67,-7.38,-7.38,-3.64,-3.16,-7.33,-3.35,-2.57,-2.48,-7.38,-7.62,-7.62,-7.62,-3.88,-0.83,-0.97,-7.14,-7.62,-3.98,-7.38,-7.62,-7.67,-3.3,-4.37,-6.55,-7.23,-4.17,-7.14,-7.14,-7.33,-7.33,-7.33,-7.33,-3.79,-2.67,-7.62,-7.33,-3.83,-4.17,-7.33,-7.23,-7.14,-7.62,-6.7,-6.7,-6.7,-6.7,-7.14,-4.37,-6.89,-6.89,-3.79,-7.18,-7.18,-7.18,-7.18,-7.67,-6.84,-1.8,-6.84,-6.84,-7.18,-7.18,-7.18,-4.13,-4.13,-7.23,-7.23,-7.23,-7.23,-7.23,-7.23,-7.72
"u5462",NA,8.79,NA,NA,3.79,NA,-9.37,-2.33,NA,NA,8.83,6.6,-3.54,8.98,-8.25,-9.37,-0.19,0.58,-0.1,-8.11,4.9,8.88,0.34,NA,4.66,5.19,-5.63,4.27,-8.01,NA,5.49,2.96,NA,6.5,-2.09,5.19,NA,NA,4.32,NA,NA,2.52,NA,-9.81,NA,3.83,NA,-9.71,3.4,0.1,-4.47,4.95,2.28,4.66,NA,0.49,NA,NA,NA,NA,-3.69,0.78,NA,NA,3.59,4.27,NA,2.96,6.84,-4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.76,NA,NA,NA,NA,NA
"u20231",7.48,-7.72,5.05,-9.27,-4.37,-9.95,-9.81,1.65,-2.62,6.12,5.63,-9.61,-5.83,-4.22,6.21,1.36,-8.74,2.52,-9.47,0.73,-8.83,1.99,-2.82,-2.96,-1.7,-8.64,-3.5,3.69,4.47,-9.81,-9.47,-6.55,-9.81,-9.51,6.36,6.26,7.28,7.52,-9.9,1.94,-9.95,-5.53,4.71,-9.81,-1.8,7.62,-0.39,-9.9,-9.47,-2.18,-9.81,-9.76,-9.81,3.25,-6.12,2.04,0.05,-2.96,-9.85,-9.81,-8.11,-8.06,5.53,-9.81,-8.83,-8.98,-9.9,-6.46,-4.03,-5.44,4.08,3.83,1.8,-3.88,-2.82,4.9,3.01,3.01,-8.01,3.01,3.01,1.55,2.04,4.76,4.76,4.76,4.76,4.76,5.92,5.39,5.63,1.17,7.09,3.3,3.3,2.96,5.68,-8.01,-3.59,1.84
"u13120",NA,5.24,NA,NA,4.03,8.3,-8.74,8.06,NA,3.59,-5.24,3.06,8.06,3.98,-9.27,-1.26,2.23,-9.71,-0.53,3.06,-4.13,-7.72,3.16,NA,1.46,2.18,4.76,4.32,3.3,NA,4.66,-2.72,NA,6.36,1.6,-0.19,NA,0.44,7.62,2.77,-2.14,1.75,NA,NA,-3.11,6.31,-0.34,-2.23,-2.14,-4.51,NA,-7.52,4.51,1.65,-2.14,-5.29,NA,NA,NA,NA,6.07,4.37,NA,NA,2.52,-0.78,NA,-0.78,6.46,3.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.81,NA,NA,NA,NA,NA,NA,NA,3.5,NA
"u22827",-9.71,-6.84,-9.56,-9.56,-9.95,0,-9.95,-9.61,-9.56,-9.56,-9.56,-9.22,-9.95,-9.51,-9.95,-9.95,0.44,-9.95,-9.95,-9.95,-4.61,-4.66,-4.27,-9.71,-6.12,-6.41,-0.49,1.8,-9.37,-9.56,-9.76,7.33,-9.56,-8.16,-0.63,-0.83,-9.56,-9.56,1.02,-9.22,-9.56,0.53,-9.22,-9.56,-5.05,0.92,-1.75,-0.05,3.06,-2.14,-4.85,-9.22,9.08,-0.58,1.55,-9.56,-9.95,-9.56,-7.57,-9.56,-0.44,-0.87,-8.35,-9.56,8.59,-3.25,-9.32,1.65,-0.58,-9.56,-9.85,NA,-0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA,NA
"u20747",NA,2.23,2.33,NA,6.41,2.43,2.48,7.04,NA,0.73,3.88,-2.67,7.14,1.7,7.14,-2.86,2.48,1.21,-2.72,1.31,3.01,3.16,0.63,NA,1.36,3.2,4.71,1.7,8.69,-2.18,2.18,-5,NA,-0.87,2.96,-1.07,NA,-0.63,4.85,0.68,1.46,1.5,NA,NA,0.29,2.18,-0.05,0.53,7.43,4.47,3.88,4.85,7.09,8.01,0.53,0.34,NA,NA,NA,5.29,6.17,1.07,-1.26,NA,-0.87,2.96,NA,5.44,-3.2,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45,NA,NA,NA,NA,NA,NA,NA,NA,-3.16,NA,-0.39,NA,NA,NA,NA
"u1143",NA,NA,NA,NA,-0.24,-0.44,-5.73,-0.05,NA,0.29,-1.26,-2.38,-6.55,1.26,5.34,0.1,-6.36,-2.62,1.26,-0.68,-0.58,1.65,-0.68,NA,-5.78,1.89,3.83,-2.77,-0.34,-0.05,-0.49,3.59,NA,-1.94,1.8,-5.1,-0.68,-2.48,-3.93,-4.61,NA,-3.16,-3.45,NA,1.07,-0.1,0.34,-3.06,-1.36,3.11,-1.07,-0.92,3.01,1.6,-2.72,-1.75,NA,NA,-3.59,NA,3.2,-1.21,-2.91,0.44,1.02,1.55,NA,-2.52,-2.77,-3.93,NA,NA,NA,NA,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u11381",0,-0.97,-0.63,-0.19,5.58,5.44,3.2,2.72,-3.01,4.76,2.23,4.08,-0.29,3.35,4.95,8.2,0.87,8.79,-1.89,-4.71,0.68,1.21,-0.39,-3.01,4.56,3.98,8.69,4.17,-2.28,5.19,4.51,5.44,-0.49,2.77,5.78,5,-3.01,5.19,3.06,5.1,5.29,3.3,-0.83,-0.1,1.21,0.53,5.49,1.55,5.24,1.31,-0.49,0.58,0,3.69,1.5,7.14,1.46,0.53,3.16,0.58,2.23,7.91,1.26,-3.01,3.93,5.92,-3.01,1.41,0.73,-0.19,1.99,1.17,2.48,-4.76,1.7,1.7,1.7,1.7,5.83,1.7,1.36,-0.39,1.31,2.57,1.55,3.06,2.38,1.17,-0.49,1.07,0.29,-0.1,-0.1,1.21,1.55,-0.24,-0.29,-0.29,4.17,0.24
"u6617",6.55,5.58,3.64,4.66,0,7.91,5.15,2.82,7.14,7.38,0,2.77,6.84,-0.24,0.34,5.44,-8.3,3.16,3.25,-0.29,0.29,6.65,7.43,3.01,5.58,6.8,2.28,5.34,1.5,2.77,5.87,4.9,5.58,1.89,5.78,6.36,5.53,4.71,0.58,4.56,3.25,6.02,4.37,3.59,5.19,3.74,3.4,8.06,7.57,6.17,3.06,0.34,6.89,3.93,9.37,6.41,4.9,-8.11,3.35,9.08,6.84,4.66,3.93,3.4,5.78,-0.87,8.25,8.54,3.5,2.33,4.61,2.33,0.24,-3.16,-1.99,2.77,1.7,2.62,-3.25,3.11,1.99,6.84,5.97,5.87,-2.62,7.96,5.19,7.23,9.22,5.58,7.77,2.86,5.68,8.83,6.89,5.15,3.79,2.38,5.29,-0.19
